,id,filename,topic,iteration,buf_size
0,uark8675aesirpresence11_89693_713195500,emitter_pushSplice_192_110223_1.csv,uark8675aesirpresence11,1,192
1,uark8675aesirpresence12_89694_720237900,emitter_pushSplice_192_110223_1.csv,uark8675aesirpresence12,1,192
2,uark8675aesirpresence11_89694_720479400,emitter_pushSplice_192_110223_1.csv,uark8675aesirpresence11,1,192
3,uark8675aesirpresence13_89695_716937500,emitter_pushSplice_192_110223_1.csv,uark8675aesirpresence13,1,192
4,uark8675aesirpresence11_89695_732031100,emitter_pushSplice_192_110223_1.csv,uark8675aesirpresence11,1,192
5,uark8675aesirpresence14_89696_707076800,emitter_pushSplice_192_110223_1.csv,uark8675aesirpresence14,1,192
6,uark8675aesirpresence12_89696_722266500,emitter_pushSplice_192_110223_1.csv,uark8675aesirpresence12,1,192
7,uark8675aesirpresence11_89696_737952200,emitter_pushSplice_192_110223_1.csv,uark8675aesirpresence11,1,192
8,uark8675aesirpresence15_89697_720177800,emitter_pushSplice_192_110223_1.csv,uark8675aesirpresence15,1,192
9,uark8675aesirpresence11_89697_751163200,emitter_pushSplice_192_110223_1.csv,uark8675aesirpresence11,1,192
10,uark8675aesirpresence21_89698_691385800,emitter_pushSplice_192_110223_1.csv,uark8675aesirpresence21,1,192
11,uark8675aesirpresence13_89698_722797200,emitter_pushSplice_192_110223_1.csv,uark8675aesirpresence13,1,192
12,uark8675aesirpresence12_89698_723161000,emitter_pushSplice_192_110223_1.csv,uark8675aesirpresence12,1,192
13,uark8675aesirpresence11_89698_753306400,emitter_pushSplice_192_110223_1.csv,uark8675aesirpresence11,1,192
14,uark8675aesirpresence22_89699_698550100,emitter_pushSplice_192_110223_1.csv,uark8675aesirpresence22,1,192
15,uark8675aesirpresence11_89699_760134400,emitter_pushSplice_192_110223_1.csv,uark8675aesirpresence11,1,192
16,uark8675aesirpresence23_89700_694344500,emitter_pushSplice_192_110223_1.csv,uark8675aesirpresence23,1,192
17,uark8675aesirpresence14_89700_709696000,emitter_pushSplice_192_110223_1.csv,uark8675aesirpresence14,1,192
18,uark8675aesirpresence12_89700_724975700,emitter_pushSplice_192_110223_1.csv,uark8675aesirpresence12,1,192
19,uark8675aesirpresence11_89700_771989100,emitter_pushSplice_192_110223_1.csv,uark8675aesirpresence11,1,192
20,uark8675aesirpresence24_89701_694146400,emitter_pushSplice_192_110223_1.csv,uark8675aesirpresence24,1,192
21,uark8675aesirpresence13_89701_725823000,emitter_pushSplice_192_110223_1.csv,uark8675aesirpresence13,1,192
22,uark8675aesirpresence11_89701_772345800,emitter_pushSplice_192_110223_1.csv,uark8675aesirpresence11,1,192
23,uark8675aesirpresence25_89702_696724700,emitter_pushSplice_192_110223_1.csv,uark8675aesirpresence25,1,192
24,uark8675aesirpresence15_89702_728351800,emitter_pushSplice_192_110223_1.csv,uark8675aesirpresence15,1,192
25,uark8675aesirpresence12_89702_728510200,emitter_pushSplice_192_110223_1.csv,uark8675aesirpresence12,1,192
26,uark8675aesirpresence11_89702_775833100,emitter_pushSplice_192_110223_1.csv,uark8675aesirpresence11,1,192
27,uark8675aesirpresence31_89703_704811200,emitter_pushSplice_192_110223_1.csv,uark8675aesirpresence31,1,192
28,uark8675aesirpresence11_89703_781915700,emitter_pushSplice_192_110223_1.csv,uark8675aesirpresence11,1,192
29,uark8675aesirpresence21_89704_693110100,emitter_pushSplice_192_110223_1.csv,uark8675aesirpresence21,1,192
30,uark8675aesirpresence32_89704_693337900,emitter_pushSplice_192_110223_1.csv,uark8675aesirpresence32,1,192
31,uark8675aesirpresence14_89704_723926400,emitter_pushSplice_192_110223_1.csv,uark8675aesirpresence14,1,192
32,uark8675aesirpresence13_89704_743016700,emitter_pushSplice_192_110223_1.csv,uark8675aesirpresence13,1,192
33,uark8675aesirpresence12_89704_743170400,emitter_pushSplice_192_110223_1.csv,uark8675aesirpresence12,1,192
34,uark8675aesirpresence11_89704_789657500,emitter_pushSplice_192_110223_1.csv,uark8675aesirpresence11,1,192
35,uark8675aesirpresence33_89705_700986600,emitter_pushSplice_192_110223_1.csv,uark8675aesirpresence33,1,192
36,uark8675aesirpresence11_89705_794876600,emitter_pushSplice_192_110223_1.csv,uark8675aesirpresence11,1,192
37,uark8675aesirpresence34_89706_695238300,emitter_pushSplice_192_110223_1.csv,uark8675aesirpresence34,1,192
38,uark8675aesirpresence22_89706_710467900,emitter_pushSplice_192_110223_1.csv,uark8675aesirpresence22,1,192
39,uark8675aesirpresence12_89706_757523300,emitter_pushSplice_192_110223_1.csv,uark8675aesirpresence12,1,192
40,uark8675aesirpresence11_89706_803777400,emitter_pushSplice_192_110223_1.csv,uark8675aesirpresence11,1,192
41,uark8675aesirpresence35_89707_702120100,emitter_pushSplice_192_110223_1.csv,uark8675aesirpresence35,1,192
42,uark8675aesirpresence15_89707_733694000,emitter_pushSplice_192_110223_1.csv,uark8675aesirpresence15,1,192
43,uark8675aesirpresence13_89707_749083800,emitter_pushSplice_192_110223_1.csv,uark8675aesirpresence13,1,192
44,uark8675aesirpresence11_89707_810452800,emitter_pushSplice_192_110223_1.csv,uark8675aesirpresence11,1,192
